ImageID,diagnostics_Image-original_Mean,diagnostics_Image-original_Maximum,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
1297,117.1682072,1549,1719,4,0.844457292,0.633738753,13.2770832,20.95040447,21.63330765,27.45906044,22.84731932,29.15475947,1667.333333,17.69172181,0.431640408,1575.349739,0.94483191,1719,612.8,1082.2,1142676641,4.564812343,199,2.911282668,1265,132.6166924,797.8970332,759,505,760,89.83436694,815.3118159,0.793416619,1142676641,0.049674767,28093.68166,161.0293125,83582.8743,1974.730227,145.5113169,7.753159872,0.897493904,2.096907457,2.616488507,3.207716229,0.450773192,0.376678572,0.992192613,0.939325416,-0.279482413,0.951300911,0.366976429,11.24814891,0.007198838,7.58896579,0.959204835,0.01983264,22.49629781,5.302505209,38.3161192,7.413085095,226.7021524,0.131880252,6.310869754,85.39092496,44.96360933,199.8278069,23.10703898,3385.910413,0.738887256,0.024364914,0.20804567,51.20653424,0.004037997,73.5550608,0.048591759,45.25133466,204.9115953,1.468074848,280.7115452,0.037586316,0.023724387,5.129228035,1205.4292,0.794606878,0.880834116,0.173677588,0.911439763,190.2722215,0.021244779,17.695,0.0442375,42.8354,263.655,139.3125,14845.09,3.175470012,0.019214746,130.745,0.3268625,0.591853697,155.7110619,0.010314842,6.4848161,0.232693426,120.8439938,0.376008123,0.010046566,489.2110528,0.126630233,3.789855737
369,62.65027879,711,5880,4,0.729601466,0.715857664,22.83468119,31.89835403,33.24154028,32.01562119,33.01514804,33.43650699,5802.208333,23.27308588,0.459624935,3397.369281,0.585530385,5880,336,388,768621265,1.95476111,24,6.105197733,438,17.3499764,360.7086735,362,246,192,10.43774698,361.5493081,-1.023059839,768621265,0.338388577,607.1550948,35.64727847,71.0841598,-6.920729045,3.127860103,0.647129836,0.653906056,0.521633732,1.226442555,0.364860907,0.758270972,0.751663383,0.992252308,0.948943161,-0.20940957,0.714361224,0.428602881,5.91834928,0.169093931,3.331554136,0.796162009,0.347171772,11.83669856,2.634402815,0.943747485,6.156900925,274.814966,0.046737239,33.93245858,1989.72483,1.061249479,36.40306122,186.3877551,6695.72619,5.796544791,0.033915091,0.026221607,1.043673646,0.000947101,902.6353467,0.272203107,1.349221932,36.76137729,5.548297547,200.219412,0.17771368,0.035271615,3.837609054,1430.606691,0.420474026,0.563566196,2.027149351,0.661656576,24.54309622,0.023972756,23.4,0.18,3.266331361,42.37692308,75944.38462,2782349.415,2126.372117,0.043673828,19.4,0.149230769,0.375684283,16.77345669,0.013040916,5.538268175,0.022108844,73898.56213,8.664986146,0.00155652,15.54847537,0.01239187,0.062779564
1103,29.05814449,672,33146,2,0.871044408,0.71685555,31.52406891,43.97548281,52.35456045,58.00862005,57.70615219,58.55766389,33097,38.3045984,0.595095807,8377.021966,0.253105175,33146,126,166,699106113,1.494016138,18,6.8108819,262,12.80321631,144.1297592,141,93,169,7.908073725,145.2298828,1.537075603,699106113,0.468688672,318.3313493,10.57795844,14.37535165,2.535142494,1.397794979,0.525953253,0.450482255,0.442196601,1.152644393,0.328442194,0.791703172,0.787188628,0.992059683,0.951767712,-0.109412903,0.498556442,0.379224861,3.218660092,0.284637113,2.628146955,0.545449655,0.49770656,6.437320183,2.054088758,0.480937058,5.420454805,1469.102576,0.044322168,49.16899636,15535.15471,0.575763946,11.36052616,280.7126048,2696.025403,30.53210102,0.106861596,0.025142779,0.393986054,0.00304124,4628.617578,0.30803029,0.926091215,12.9021351,10.15524387,100.6214789,1.104420158,0.105934027,3.795393099,5662.621968,0.373628341,0.453209344,5.17872152,0.630880334,8.835105128,0.06698233,173.6944858,0.258859144,2.824953747,16.70640835,739567.5201,7127542.522,79235.42001,0.134460287,173.3070045,0.258281676,0.517376544,8.898069174,0.067729421,4.90775499,0.02024377,737127.3663,97.32405492,0.000277542,11.05728363,0.007384816,0.009817909
195,48.68503461,589,462,1,0.77151251,0.728826026,8.572883121,11.76259192,14.14213562,11.18033989,14.03566885,14.59451952,441.8333333,9.074986819,0.551352167,508.8159191,1.151601477,462,244,286,32710795,1.613331945,22,3.612885769,333,13.55810423,265.525974,266,213,120,9.479310246,266.0875544,0.057969761,32710795,0.391222054,298.5436976,10.05913485,6.405176204,-0.33070976,1.3958365,0.905520752,0.213905303,0.646566605,1.406638755,0.482774183,0.715252163,0.702245157,0.976971018,0.912023574,-0.052299335,0.372716694,0.461093457,3.152146793,0.159764621,3.185271459,0.295182418,0.30957423,6.304293586,2.2571146,0.575339313,5.326217475,30.14285714,0.06524428,18.39425798,180.7445887,0.554998032,10.39177489,96.53679654,996.2445887,10.529136,0.130547739,0.06328646,0.713725538,0.013611968,113.9344059,0.352966998,0.654467673,10.4147462,2.680564183,27.84584065,0.324682324,0.138248894,2.915993413,174.0874943,0.537237997,0.698468198,0.611422296,0.758302004,7.924936771,0.110296426,8.103448276,0.279429251,1.964328181,11.17241379,2637.724138,26207.62069,284.591887,0.234444444,8.24137931,0.284185493,0.53870036,6.503460364,0.135186462,3.879893824,0.062770563,2383.926278,2.741595952,0.015834898,7.492677231,0.018326575,0.188986338
543,423.3443393,7185,1637,1,0.57446063,0.344592605,8.752816198,25.40047599,28.0713377,20.61552813,27.65863337,28.53068524,1611.041667,14.59157344,0.669943873,992.011911,0.615758072,1637,923.6,1313.4,2032239008,4.584156119,177,5.645352316,2024,124.9064557,1101.270617,1067,757,1267,77.58259123,1114.199738,1.362686948,2032239008,0.052822837,28644.08376,198.8296418,51898.68626,1182.804513,95.29567679,49.06514295,0.318556427,5.171470546,3.839873928,22.13195056,0.281062442,0.188439376,0.982684198,0.913611479,-0.090401599,0.739983174,0.195033632,13.68404124,0.00408052,8.457943477,0.450164983,0.011161653,27.36808248,5.130631759,36.09020494,6.562735812,384.8656078,0.23510422,2.07310854,86.47098351,45.98614507,258.5009163,8.034819792,1372.575443,0.074162302,0.010469985,0.417748998,148.4223134,0.005385024,79.65386034,0.051514227,47.46448675,263.7213817,1.183569257,294.6695565,0.012195818,0.010563664,4.910828359,1384.314188,0.895078765,0.944551478,0.06232142,0.957940157,256.5162318,0.010191289,28.64766839,0.037108379,69.70781095,347.6295337,20.39766839,3022.735751,0.180392832,0.012476849,369.1813472,0.47821418,0.718828754,281.4096061,0.009985131,6.364710191,0.47159438,15.90129097,0.380732863,0.00412568,3203.0232,0.198335339,3.761167157
48,187.8638278,2685,3399,4,0.828260497,0.746706886,19.14673681,25.64156989,27.29468813,30.61045573,32.80243893,35.18522417,3294.5,21.23789943,0.328442072,3260.005623,0.989529708,3399,882,1013,3075334830,3.132283862,67,3.255134912,1138,41.278275,949.7416887,951,741,397,28.37414324,951.197327,-0.039189234,3075334830,0.13575242,2767.079495,91.56753001,825.3598233,-2.111836167,16.35755786,3.083079245,0.683726871,1.307488642,2.045191298,1.306147362,0.554744178,0.506370153,0.989748909,0.932157748,-0.175394195,0.792553748,0.458701774,9.394047298,0.025598681,5.806576561,0.693384568,0.056243772,18.7880946,4.046878385,4.860159277,6.525351373,348.3150927,0.102475755,8.123117221,461.4224772,4.544740631,94.93174463,40.41453369,3703.504854,0.545926716,0.013766039,0.101773665,10.30053577,0.001711156,373.239063,0.133992041,4.656172535,95.41987858,1.839120545,174.0714541,0.025014207,0.013837299,3.960208866,1967.22054,0.699796622,0.819901781,0.313753224,0.85994968,82.48449089,0.011939903,38.16374269,0.111589891,7.213954721,101.3947368,1569.874269,152220.0965,17.65709228,0.017718056,84.8245614,0.248025033,0.513279524,54.04757217,0.010340968,5.912045815,0.100617829,1471.098569,1.761694172,0.002844604,107.553658,0.028626527,0.336319413
221,46.4934925,810,8988,2,0.910977323,0.683949497,20.46754438,29.92552004,34.36568055,36.67424164,33.61547263,37.8153408,8945.333333,27.26147015,0.461060602,4519.847659,0.505274369,8988,224,300.3,647754188,2.460601878,37,11.5248307,617,25.4491731,265.9554962,266,149,468,15.84597277,268.4562893,1.303167479,647754188,0.234138373,1336.453293,38.71094413,552.1840521,21.80490887,7.580311723,1.170194509,0.732613599,0.730277785,1.513795546,0.629547938,0.690448516,0.674430004,0.997133227,0.96611939,-0.227080285,0.814558068,0.482284436,6.091659795,0.079347614,4.369811107,0.763376818,0.174121599,12.18331959,3.333936114,2.187626558,6.538053721,524.6370717,0.058370836,22.60009727,2104.435692,2.215403198,40.17323097,129.0011126,4799.04951,4.07987704,0.032320649,0.036758369,2.089712882,0.001315861,1228.903301,0.212959811,2.675841457,41.53066574,3.452808692,133.7210359,0.110046244,0.032538023,4.020072812,2810.583999,0.483730886,0.641727431,0.982057401,0.719012331,30.82173252,0.023475431,31.1254902,0.122060746,11.32524414,66.31764706,68424.76078,2670384.537,1868.163151,0.039315069,65.9254902,0.258531334,0.517632025,36.53216586,0.021418308,5.752734308,0.028371162,67182.40563,4.784550685,0.001076382,115.3625745,0.006023883,0.46769051
1457,42.49300504,987,10058,14,0.636463313,0.489054154,23.86920001,48.80686487,38.83297568,53.23532662,53.93514624,55.83009941,9793.75,31.0637789,0.284758647,7773.916647,0.793763027,10058,238,331,851837309,2.445300138,55,2.10829997,404,29.02708409,288.9937363,293,209,195,22.65392686,291.0197834,-0.186760598,851837309,0.200434853,1175.134679,17.03220829,108.3558934,-1.820000511,7.523062951,0.536969122,0.866994388,0.452470784,1.15345767,0.325672148,0.787123002,0.782190301,0.993538614,0.955507502,-0.403619584,0.924440913,0.385209907,3.909505078,0.087990693,3.910424989,0.883834424,0.156491102,7.819010155,3.307700686,2.015008018,6.752903367,465.3901372,0.046270644,37.6547424,2015.973752,1.935252371,18.58600119,195.3422152,2952.043547,25.51109546,0.103098397,0.025453634,0.619427245,0.002460587,1173.868194,0.210040527,1.775457838,20.23235486,5.55438726,88.22739506,0.702704551,0.091721708,4.125456148,2369.575044,0.414696124,0.555485874,2.093034157,0.658307584,13.99448206,0.05730134,34.46666667,0.153185185,3.559506173,26.38666667,42402.80889,666057.3156,4448.194976,0.119294716,33.25777778,0.147812346,0.378337282,10.30911092,0.045534426,5.928425925,0.022370253,40404.52022,16.03364527,0.001518959,12.12836924,0.018554648,0.048983831
1314,37.32791095,751,1863,4,0.542487651,0.407974246,12.38839726,30.36563551,35.84689666,27.01851217,21.9544984,36.89173349,1794.666667,16.47298228,0.408382977,1748.795492,0.974440282,1863,117,218.8,52720836,2.744802163,63,3.211650764,357,34.09886109,163.0166398,157,67,290,25.19145242,168.2227455,0.598349073,52720836,0.170363686,1724.467249,24.70786046,219.761938,13.58830136,8.890817488,1.131731643,0.773412409,0.715359397,1.501602385,0.605122106,0.698330997,0.681892319,0.993521093,0.95077124,-0.291192414,0.876442818,0.463122834,4.771094798,0.065166511,4.479165412,0.801559515,0.134623728,9.542189596,3.50834051,2.505637283,6.525242516,113.173913,0.060748209,27.87926307,317.387547,2.886707816,28.22061192,111.057971,2033.56146,8.773627464,0.058563203,0.059488327,2.885307921,0.002369147,211.5736286,0.165052009,2.964811979,31.21309076,3.034280961,72.00283983,0.203956414,0.053224658,3.984524315,708.7522054,0.546248819,0.687683224,0.852013256,0.763859033,25.55032713,0.037856418,15.84033613,0.133112068,5.3504696,50.31932773,2887.857143,59491.10084,178.7687957,0.04582973,25.94117647,0.21799308,0.476649828,28.57678434,0.015877835,5.437697205,0.06387547,2642.763647,1.90787681,0.007124457,38.78263685,0.018571729,0.577208585
1214,73.97899675,703,9313,95,0.779757408,0.414760813,21.67319241,52.25467729,43,55.08175742,57.48912941,59.50630219,8555.083333,40.74597174,0.175004358,11558.94218,1.351119765,9313,217,313,658493440,2.6058538,49,3.080926715,436,29.21473993,263.3767851,262,121,315,20.6822877,265.907707,0.266466804,658493440,0.190268723,1339.577672,46.88661909,160.0426574,9.303940335,7.165334121,1.150949047,0.722978429,0.764155512,1.529102172,0.560532001,0.674579699,0.656044138,0.994248598,0.950618451,-0.217882687,0.813238842,0.495548064,6.736623799,0.059080418,4.539619995,0.771092502,0.113712468,13.4732476,3.419246888,2.079070792,6.514771637,624.5011275,0.067056923,21.10483732,1771.972619,2.214332318,51.99763771,74.92934608,3415.293461,1.934488104,0.023352892,0.109072911,6.744231033,0.002432269,1325.453471,0.188188956,2.271617363,53.4916962,2.296608175,113.904095,0.055655883,0.022851072,3.655542086,4466.3225,0.63131804,0.756287737,0.53136636,0.821495947,44.85933964,0.018487187,171.9388145,0.164377452,3.304685244,63.16730402,3640.517208,165139.5851,88.60177275,0.022301532,344.8546845,0.329688991,0.595752857,38.4788216,0.01370931,5.232157826,0.112316117,3561.245935,7.1516512,0.00107748,51.04224042,0.01388678,0.098314982
